League,Player Link,Player,Position,Date of Birth,Country,Join,Contract,Market Value,Club,Club Link,Season
Liga Portugal,https://www.transfermarkt.co.uk/ferro/profil/spieler/294321,Ferro,Centre-Back,"Mar 26, 1997 (24)",Portugal,"Jan 1, 2019","May 31, 2026",€5.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/morato/profil/spieler/673492,Morato,Centre-Back,"Jun 30, 2001 (20)",Brazil,"Jul 1, 2021","Jun 30, 2027",€2.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/jardel/profil/spieler/122946,Jardel,Centre-Back,"Mar 29, 1986 (35)",Brazil,"Jan 1, 2011",-,€300k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/branimir-kalaica/profil/spieler/293180,Branimir Kalaica,Centre-Back,"Jun 1, 1998 (23)",Croatia,-,"Jun 15, 2024",€250k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/alejandro-grimaldo/profil/spieler/193082,Alejandro Grimaldo,Left-Back,"Sep 20, 1995 (25)",Spain,"Jan 1, 2016","Jun 30, 2027",€22.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/nuno-tavares/profil/spieler/535955,Nuno Tavares,Left-Back,"Jan 26, 2000 (21)",Portugal,"Jul 1, 2019","Jun 30, 2025",€7.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/andre-almeida/profil/spieler/83466,André Almeida,Right-Back,"Sep 10, 1990 (30)",Portugal,"Jul 1, 2011",-,€5.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/gilberto/profil/spieler/231614,Gilberto,Right-Back,"Mar 7, 1993 (28)",Brazil,"Aug 8, 2020","Jun 30, 2026",€3.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/joao-ferreira/profil/spieler/481623,João Ferreira,Right-Back,"Mar 22, 2001 (20)",Portugal,-,"Jun 30, 2027",€850k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/julian-weigl/profil/spieler/196792,Julian Weigl,Defensive Midfield,"Sep 8, 1995 (25)",Germany,"Jan 1, 2020","Jun 30, 2028",€20.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/andreas-samaris/profil/spieler/140032,Andreas Samaris,Defensive Midfield,"Jun 13, 1989 (32)",Greece,"Aug 22, 2014",-,€2.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/ilija-vukotic/profil/spieler/344474,Ilija Vukotic,Defensive Midfield,"Jan 7, 1999 (22)",Montenegro,"Jul 1, 2021","Jun 30, 2025",€400k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/gabriel-pires/profil/spieler/167291,Gabriel Pires,Central Midfield,"Sep 18, 1993 (27)",Brazil,"Aug 27, 2018","Dec 31, 2023",€7.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/adel-taarabt/profil/spieler/45287,Adel Taarabt,Central Midfield,"May 24, 1989 (32)",Morocco,"Mar 30, 2019","Jun 30, 2025",€4.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/paulo-bernardo/profil/spieler/504090,Paulo Bernardo,Central Midfield,"Jan 24, 2002 (19)",Portugal,"Jan 1, 2022","Jun 30, 2027",€1.50m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/pizzi/profil/spieler/64339,Pizzi,Attacking Midfield,"Oct 6, 1989 (31)",Portugal,"Jul 26, 2013","Jun 30, 2024",€12.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/chiquinho/profil/spieler/334557,Chiquinho,Attacking Midfield,"Jul 19, 1995 (25)",Portugal,"Jul 1, 2019","Jun 30, 2024",€6.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/rafa/profil/spieler/238055,Rafa,Left Winger,"May 17, 1993 (28)",Portugal,"Aug 31, 2016","Jun 30, 2024",€23.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/everton/profil/spieler/321239,Everton,Left Winger,"Mar 22, 1996 (25)",Brazil,"Aug 14, 2020","Jun 30, 2026",€20.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/franco-cervi/profil/spieler/341110,Franco Cervi,Left Winger,"May 26, 1994 (27)",Argentina,"Jul 1, 2016","Jun 30, 2024",€5.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/tiago-araujo/profil/spieler/481628,Tiago Araújo,Left Winger,"Mar 27, 2001 (20)",Portugal,-,"Jun 30, 2025",€550k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/pedrinho/profil/spieler/515208,Pedrinho,Right Winger,"Apr 13, 1998 (23)",Brazil,"Aug 1, 2020","Dec 31, 2023",€15.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/diogo-goncalves/profil/spieler/258015,Diogo Gonçalves,Right Winger,"Feb 6, 1997 (24)",Portugal,"Jul 1, 2017","Jun 30, 2027",€8.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/luca-waldschmidt/profil/spieler/196095,Luca Waldschmidt,Second Striker,"May 19, 1996 (25)",Germany,"Aug 14, 2020","Jun 30, 2024",€15.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/darwin-nunez/profil/spieler/546543,Darwin Núñez,Centre-Forward,"Jun 24, 1999 (22)",Uruguay,"Sep 4, 2020","Jun 30, 2028",€20.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/carlos-vinicius/profil/spieler/525287,Carlos Vinícius,Centre-Forward,"Mar 25, 1995 (26)",Brazil,"Jul 20, 2019","Jun 30, 2025",€18.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/haris-seferovic/profil/spieler/109256,Haris Seferovic,Centre-Forward,"Feb 22, 1992 (29)",Switzerland,"Jul 1, 2017","Jun 30, 2025",€14.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/goncalo-ramos/profil/spieler/550550,Gonçalo Ramos,Centre-Forward,"Jun 20, 2001 (20)",Portugal,"Oct 1, 2020","Jun 30, 2025",€8.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/facundo-ferreyra/profil/spieler/93795,Facundo Ferreyra,Centre-Forward,"Mar 14, 1991 (30)",Argentina,"Jul 1, 2018","Dec 31, 2023",€2.00m,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/daniel-dos-anjos/profil/spieler/523364,Daniel dos Anjos,Centre-Forward,"Jan 21, 1996 (25)",Brazil,-,"Jun 30, 2024",€150k,SL Benfica,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/mateus-pasinato/profil/spieler/349418,Mateus Pasinato,Goalkeeper,"Jun 28, 1992 (29)",Brazil,"Aug 4, 2020","Dec 31, 2024",€1.00m,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/miguel-oliveira/profil/spieler/237297,Miguel Oliveira,Goalkeeper,"May 25, 1994 (27)",Portugal,"Sep 3, 2020","May 31, 2024",€200k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/kewin/profil/spieler/669219,Kewin,Goalkeeper,"Jan 25, 1995 (26)",Brazil,"Jul 1, 2021","Jun 30, 2025",€200k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/nahuel-ferraresi/profil/spieler/466336,Nahuel Ferraresi,Centre-Back,"Nov 19, 1998 (22)",Venezuela,"Aug 15, 2020",-,€1.00m,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/lazar-rosic/profil/spieler/198053,Lazar Rosic,Centre-Back,"Jun 29, 1993 (28)",Serbia,"Jul 1, 2019","Jun 30, 2023",€800k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/abdoulaye-ba/profil/spieler/106837,Abdoulaye Ba,Centre-Back,"Jan 1, 1991 (30)",Senegal,"Jan 7, 2021",-,€500k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/reynaldo/profil/spieler/514297,Reynaldo,Centre-Back,"Jan 3, 1997 (24)",Brazil,"Sep 14, 2020","Nov 30, 2025",€200k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/steven-vitoria/profil/spieler/54716,Steven Vitória,Centre-Back,"Jan 11, 1987 (34)",Canada,"Jul 4, 2019","Jun 30, 2023",€100k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/abdu-conte/profil/spieler/337798,Abdu Conté,Left-Back,"Mar 24, 1998 (23)",Portugal,"Jul 22, 2019","Jun 30, 2026",€1.50m,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/pedro-amador/profil/spieler/564544,Pedro Amador,Left-Back,"Dec 18, 1998 (22)",Portugal,"Aug 15, 2020","Jun 30, 2024",€800k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/afonso-figueiredo/profil/spieler/237000,Afonso Figueiredo,Left-Back,"Jan 6, 1993 (28)",Portugal,"Oct 20, 2020","Jun 30, 2023",€400k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/anthony-dalberto/profil/spieler/157387,Anthony D'Alberto,Right-Back,"Oct 13, 1994 (26)",Belgium,"Jul 1, 2018","Jun 30, 2024",€600k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/matheus-silva/profil/spieler/593208,Matheus Silva,Right-Back,"Oct 3, 1997 (23)",Brazil,"Aug 27, 2020","Jun 30, 2024",€325k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/sori-mane/profil/spieler/410212,Sori Mané,Defensive Midfield,"Apr 3, 1996 (25)",Guinea-Bissau,"Jul 11, 2019",-,€500k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/ibrahima/profil/spieler/595012,Ibrahima,Defensive Midfield,"Jan 25, 1999 (22)",Guinea,"Jan 31, 2019","Jun 30, 2026",€400k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/fabio-pacheco/profil/spieler/111200,Fábio Pacheco,Defensive Midfield,"May 26, 1988 (33)",Portugal,"Jul 1, 2018","Jun 30, 2024",€300k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/filipe-soares/profil/spieler/357163,Filipe Soares,Central Midfield,"May 20, 1999 (22)",Portugal,"Jul 24, 2019","Jun 30, 2026",€4.00m,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/goncalo-franco/profil/spieler/674798,Gonçalo Franco,Central Midfield,"Nov 17, 2000 (20)",Portugal,"Sep 1, 2020","Jun 30, 2025",€600k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/alex-soares/profil/spieler/207571,Alex Soares,Central Midfield,"Mar 1, 1991 (30)",Portugal,"Jul 17, 2019","Dec 31, 2024",€550k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/david-simao/profil/spieler/70359,David Simão,Central Midfield,"May 15, 1990 (31)",Portugal,"Jan 4, 2021","Jun 30, 2025",€250k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/pedro-nuno/profil/spieler/335380,Pedro Nuno,Attacking Midfield,"Jan 13, 1995 (26)",Portugal,"Jul 9, 2018","Jun 30, 2024",€700k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/david-tavares/profil/spieler/416089,David Tavares,Attacking Midfield,"Mar 19, 1999 (22)",Cape Verde,"Sep 22, 2020","Jun 30, 2026",€600k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/felipe-pires/profil/spieler/327911,Felipe Pires,Left Winger,"Apr 18, 1995 (26)",Brazil,"Sep 12, 2020","Dec 31, 2025",€800k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/walterson-silva/profil/spieler/516127,Walterson Silva,Left Winger,"Dec 28, 1994 (26)",Brazil,"Sep 30, 2020",-,€700k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/lucas-silva/profil/spieler/608943,Lucas Silva,Left Winger,"Aug 27, 1999 (21)",Brazil,"Jul 1, 2020","Jun 30, 2024",€300k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/galego/profil/spieler/654236,Galego,Left Winger,"Apr 4, 1997 (24)",Brazil,"Oct 1, 2020",-,€150k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/yantm/profil/spieler/323945,Yan,Right Winger,"Sep 4, 1998 (22)",Brazil,"Aug 16, 2020","Dec 31, 2023",€800k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/fabio-abreu/profil/spieler/292398,Fabio Abreu,Centre-Forward,"Jan 29, 1993 (28)",Angola,"Jul 1, 2019","Dec 31, 2024",€2.80m,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
Liga Portugal,https://www.transfermarkt.co.uk/rafael-martins/profil/spieler/99499,Rafael Martins,Centre-Forward,"Mar 17, 1989 (32)",Brazil,"Jan 5, 2021","Jun 30, 2024",€400k,Moreirense FC,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979/saison_id/2020,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2020
